update_step,policy_loss,kl_divergence,policy_entropy
0,-0.005325194913893938,-0.00125524727627635,5.80134391784668
1,-0.002167311031371355,4.4710104702971876e-05,5.803793907165527
2,-0.001702556968666613,0.003755807876586914,5.804832935333252
3,-0.0014605654869228601,0.0014622078742831945,5.806212902069092
4,-0.0014663669280707836,0.0015420648269355297,5.8075175285339355
5,-0.001466297428123653,-0.0008757908944971859,5.809747695922852
6,-0.0014492074260488153,-0.000981410383246839,5.813394546508789
7,-0.0013973712921142578,-0.0023903846740722656,5.817706108093262
8,-0.001906103570945561,0.0006712211761623621,5.822903156280518
9,-0.0016740858554840088,-0.0026375188026577234,5.828975200653076
10,-0.0017112692585214972,-0.0010113450698554516,5.835474014282227
11,-0.0020891029853373766,0.0004728237690869719,5.842525959014893
12,-0.0013750427169725299,-0.0028162533417344093,5.850174427032471
13,-0.0017732580890879035,-0.00270956102758646,5.85801362991333
14,-0.0023924047127366066,0.00923095177859068,5.8661394119262695
15,-0.002640889724716544,-0.001026584068313241,5.874660968780518
16,-0.0020319984760135412,-0.0013977023772895336,5.883312702178955
17,-0.00020531151676550508,-0.003391510806977749,5.891691207885742
18,-0.0005387995042838156,0.0031969414558261633,5.899028301239014
19,-0.0007254116935655475,-0.0017389125423505902,5.905503273010254
20,-0.0008992155198939145,-0.0006449222564697266,5.910747051239014
21,-0.001211745897307992,-0.0006151464185677469,5.914986610412598
22,-0.0013098054332658648,-0.002673559822142124,5.918617248535156
23,-0.0007760326261632144,-0.0043009123764932156,5.922101974487305
24,-0.000700400909408927,0.002178668975830078,5.925326824188232
25,-0.0013720326824113727,4.502137380768545e-05,5.927539348602295
26,-0.001508524059318006,0.00033170648384839296,5.929885387420654
27,-0.0009105867939069867,0.0006165637169033289,5.932313919067383
28,-0.0011219315929338336,-0.0021789472084492445,5.935783863067627
29,-0.0014175442047417164,-0.003092567203566432,5.940034866333008
30,-0.0017028650036081672,-0.0007049507694318891,5.94508171081543
31,-0.0022621287498623133,-0.0004039075574837625,5.950800895690918
32,-0.001984119415283203,-0.0025527344550937414,5.957261085510254
33,-0.000957489013671875,-0.0031921202316880226,5.963657855987549
34,-0.0007571876049041748,-0.0019749270286411047,5.969173908233643
35,-0.00041265288018621504,4.39352443208918e-05,5.973339080810547
36,-0.0010775261325761676,-0.0004634989600162953,5.976563453674316
37,-0.001715885242447257,-0.001736627658829093,5.978424549102783
38,-0.0015431410865858197,0.00014499823737423867,5.979437828063965
39,-0.001222285907715559,0.0007657342357560992,5.979831695556641
40,-0.0012028688797727227,-0.0002959569392260164,5.9799885749816895
41,-0.0018020388670265675,0.00021268261480145156,5.979855537414551
42,-0.0018652661237865686,8.145967876771465e-05,5.979181289672852
43,-0.0015744699630886316,0.0002893474302254617,5.978813171386719
44,-0.0008419222431257367,0.0012527704238891602,5.979526042938232
45,-0.0012281438102945685,-0.0006130139227025211,5.981743812561035
46,-0.0018043401651084423,0.0003111892146989703,5.984798431396484
47,-0.0015386475715786219,0.0005581511650234461,5.988502025604248
48,-0.0015727845020592213,-0.005577405449002981,5.992801666259766
49,-0.002195977605879307,0.0009230375289916992,5.997330188751221
50,-0.0008155654068104923,-0.00024489560746587813,6.002222061157227
51,-0.0007783935870975256,0.0021201239433139563,6.006011009216309
52,-0.0009019970893859863,0.0016741090221330523,6.008567810058594
53,-0.0012746056308969855,-0.0009115934371948242,6.0099592208862305
54,-0.0009215871687047184,-0.001885188976302743,6.0108184814453125
55,-0.0017922057304531336,-0.0004496044712141156,6.011218070983887
56,-0.0017648256616666913,0.00047294297837652266,6.010490894317627
57,-0.0018964774208143353,-0.00041557682561688125,6.0087666511535645
58,-0.001897063571959734,-0.0014273457927629352,6.0063862800598145
59,-0.001842796802520752,-0.0021068123169243336,6.004049301147461
60,-0.0014823906822130084,-0.00035434297751635313,6.002213001251221
61,-0.0010177692165598273,0.0007994837360456586,6.00111198425293
62,-0.0011781917419284582,0.0027275218162685633,6.00083589553833
63,-0.0014898726949468255,-0.0002440081734675914,6.001642227172852
64,-0.001862559001892805,0.00022668308520223945,6.003421783447266
65,-0.0019942489452660084,0.00026509497547522187,6.006214141845703
